Date,Open,High,Low,Close,Volume
2017-10-23,690.29,694.79,685.24,685.24,0
2017-10-30,685.19,688.2,679.01,679.01,0
2017-11-06,681.13,681.34,672.45,672.45,0
2017-11-13,673.32,673.32,664.51,664.51,0
2017-11-20,660.94,661.57,642.62,642.62,0
2017-11-27,639.34,665.04,639.34,641.64,0
2017-12-04,648.66,658.57,648.66,653.71,0
2017-12-11,653.86,658.73,650.07,650.07,0
2017-12-18,650.27,650.27,612.93,638.21,0
2017-12-25,645.3,668.91,645.3,668.91,0
2018-01-01,656.91,705.51,656.91,705.51,0
2018-01-08,687.23,687.23,657.99,657.99,0
2018-01-15,665.13,665.93,664.64,664.64,0
2018-01-22,661.29,665.61,661.29,664.1,0
2018-01-29,661.95,665.73,661.87,664.13,0
2018-02-05,662.82,668.61,658.2,658.2,0
2018-02-12,655.82,659.61,655.82,658.85,0
2018-02-19,653.03,658.85,653.03,656.88,0
2018-02-26,656.6,656.6,643.54,643.54,0
2018-03-05,639.9,640.7,639.9,640.7,0
2018-03-12,640.88,660.66,640.88,655.38,0
2018-03-19,655.43,670.23,655.43,670.23,0
2018-03-26,673.28,686.02,673.28,686.02,0
2018-04-02,697.23,697.23,679.81,683.25,0
2018-04-09,678.77,683.53,678.3,683.43,0
2018-04-16,678.73,689.61,678.73,681.95,0
2018-04-23,682.16,689.26,680.76,689.26,0
2018-04-30,683.54,692.96,683.54,692.96,0
2018-05-07,688.84,695.34,688.84,695.34,0
2018-05-14,688.72,690.96,686.87,690.96,0
2018-05-21,691.64,695.15,673.78,673.78,0
2018-05-28,661.76,661.76,651.63,653.54,0
2018-06-04,652.32,656.82,652.32,653.2,0
2018-06-11,656.73,666.36,656.73,666.36,0
2018-06-18,669.36,669.87,668.9,669.07,0
2018-06-25,669.87,669.87,654.0,654.0,0
2018-07-02,657.73,657.73,653.8,653.8,0
2018-07-09,658.88,658.88,654.44,654.44,0
2018-07-16,653.31,653.31,646.33,647.79,0
2018-07-23,644.98,646.58,631.68,631.68,0
2018-07-30,633.29,633.29,628.76,628.76,0
2018-08-06,629.19,629.19,625.76,625.76,0
2018-08-13,626.61,626.61,624.93,624.93,0
2018-08-20,627.46,627.46,624.82,624.82,0
2018-08-27,625.2,627.2,625.2,627.2,0
2018-09-03,627.04,632.51,626.29,626.29,0
2018-09-10,627.47,627.47,615.2,615.2,0
2018-09-17,603.26,603.26,592.27,592.27,0
2018-09-24,591.71,591.71,588.57,591.71,0
2018-10-01,590.01,593.82,588.44,592.99,0
2018-10-08,588.2,592.18,586.13,586.13,0
2018-10-15,585.78,585.78,581.14,583.95,0
2018-10-22,571.74,572.74,571.02,572.23,0
2018-10-29,559.46,560.22,558.33,558.33,0
2018-11-05,550.02,559.17,550.02,559.17,0
2018-11-12,560.81,560.81,551.38,551.38,0
2018-11-19,556.84,556.94,550.39,550.39,0
2018-11-26,545.07,552.18,538.09,538.09,0
2018-12-03,538.23,540.67,535.25,536.6,0
2018-12-10,535.06,535.06,532.44,532.44,0
2018-12-17,529.41,529.41,517.9,517.9,0
2018-12-24,515.65,515.65,475.38,499.61,0
2018-12-31,513.26,526.28,495.34,495.34,0
2019-01-07,496.75,519.24,496.75,517.65,0
2019-01-14,516.51,516.51,513.92,513.92,0
2019-01-21,510.7,516.16,510.7,516.16,0
2019-01-28,513.34,515.82,509.17,509.86,0
2019-02-04,510.59,514.8,504.77,504.77,0
2019-02-11,503.81,530.64,503.81,517.12,0
2019-02-18,516.39,518.92,516.39,518.92,0
2019-02-25,518.23,526.27,517.87,526.27,0
2019-03-04,554.17,598.73,554.17,592.49,0
2019-03-11,590.63,590.63,578.02,578.02,0
2019-03-18,580.18,581.4,579.53,579.9,0
2019-03-25,581.27,594.68,581.27,585.95,0
2019-04-01,583.93,587.82,581.51,581.51,0
2019-04-08,578.57,584.37,578.57,583.79,0
2019-04-15,585.2,585.2,567.96,567.96,0
2019-04-22,567.03,578.95,567.03,574.65,0
2019-04-29,579.88,580.17,576.31,577.66,0
2019-05-06,580.19,580.19,563.56,563.56,0
2019-05-13,587.6,587.6,527.07,527.07,0
2019-05-20,528.13,528.13,523.39,523.39,0
2019-05-27,525.44,526.8,524.0,524.0,0
2019-06-03,523.44,523.44,515.24,515.24,0
2019-06-10,515.19,515.58,515.19,515.58,0
2019-06-17,514.92,515.08,509.23,509.23,0
2019-06-24,509.07,509.07,497.1,497.1,0
2019-07-01,499.58,506.59,499.58,502.65,0
2019-07-08,500.18,504.25,498.52,498.52,0
2019-07-15,500.85,500.85,498.51,498.8,0
2019-07-22,498.62,506.1,498.62,504.21,0
2019-07-29,501.89,504.2,501.89,503.77,0
2019-08-05,507.0,514.36,507.0,513.7,0
2019-08-12,513.13,513.74,513.04,513.04,0
2019-08-19,510.94,513.04,510.33,510.33,0
2019-08-26,503.01,503.01,501.85,502.46,0
2019-09-02,500.05,500.74,487.4,487.4,0
2019-09-09,489.63,490.26,484.05,484.05,0
2019-09-16,480.83,480.83,469.15,469.15,0
2019-09-23,467.75,467.75,457.64,457.64,0
2019-09-30,455.95,455.95,445.67,445.67,0
2019-10-07,445.73,445.73,441.91,442.01,0
2019-10-14,437.72,437.72,432.32,436.13,0
2019-10-21,438.17,441.21,438.17,441.21,0
2019-10-28,442.19,443.88,442.19,443.22,0
2019-11-04,443.8,443.8,443.35,443.35,0
2019-11-11,443.27,443.27,436.18,436.18,0
2019-11-18,439.39,439.39,434.8,437.8,0
2019-11-25,438.05,438.05,436.55,436.79,0
2019-12-02,435.86,435.86,433.45,433.45,0
2019-12-09,432.46,432.46,425.96,425.96,0
2019-12-16,415.82,418.3,415.82,416.78,0
2019-12-23,418.62,444.28,418.33,444.28,0
2019-12-30,470.07,496.08,470.07,491.69,0
2020-01-06,495.38,495.38,479.62,479.62,0
2020-01-13,467.1,467.1,443.04,455.75,0
2020-01-20,455.72,468.08,455.72,468.08,0
2020-01-27,468.52,468.52,461.16,461.16,0
2020-02-03,458.95,461.2,458.95,459.44,0
2020-02-10,457.52,457.52,431.87,431.87,0
2020-02-17,442.83,442.83,432.71,442.24,0
2020-02-24,442.17,442.17,431.87,435.35,0
2020-03-02,430.45,461.14,430.45,461.14,0
2020-03-09,452.3,452.3,442.27,442.27,0
2020-03-16,446.62,446.62,435.65,435.65,0
2020-03-23,430.77,430.77,406.63,406.63,0
2020-03-30,408.18,408.18,399.89,400.51,0
